"Landomycins P−W, Cytotoxic Angucyclines from Streptomyces cyanogenus S-136; 2011; 10.1021-np100469y",,,,,
,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,
"Table 1. 13C and 1H NMR Assignments of the New Landomycins P, Q, and R [δ in ppm relative to TMS (multiplicity, J Hz)]",,,,,
"Footnotes: ['aSee also Figures S13−S18.', 'bCDCl3.', 'c125 MHz.', 'dDMSO-d6.', 'eNot observed.']",,,,,
,,,,,
,landomycin P (5)a,landomycin Q (6)a,landomycin R (3)a,,
position,"δCb,c",δH (500 MHz)b,δH (500 MHz)b,δH (500 MHz)d,
1,"155.3, C",,,,
1-OH,,"11.11, s","10.62, s","10.67, br s",
2,"120.0, CH","7.10, d (1.5)","7.16, d (1.8)","6.97, br s",
3,"141.4, C",,,,
3-CH3,"21.4, CH3","2.46, s","2.48, s","2.45, s",
4,"121.4, CH","7.23, d (1.5)","7.27, d (1.8)","7.34, br s",
4a,"138.6, C",,,,
5,"137.8, CH","8.09, d (8.6)","8.13, d (8.7)","8.09, d (8.6)",
6,"123.0, CH","8.24, d (8.6)","8.25, d (8.6)","8.18, d (8.8)",
6a,"136.8, C",,,,
7,"181.9, C",,,,
7a,"122.5, C",,,,
8,"156.6, C",,,,
9,"124.9, CH","7.49, dd (8.4, 1.0)","7.53, d (9.3)","7.52, d (9.3)",
10,"134.9, CH","7.67, ddd (8.0, 7.8, 1.0)","7.26, d (9.3)","7.34, d (9.8)",
11,"123.5, CH","8.01, dd (7.8, 1.0)",,,
11-OH,,,"12.23, s","12.17, br s",
11a,"137.2, C",,,,
12,"190.7, C",,,,
12a,"130.9, C",,,,
12b,"119.4, C",,,,
"sugar A, β-d-olivose",,,,,
1A,"98.9, CH","5.23, dd (9.5, 1.7)","5.08, dd (9.5, 2.0)","5.25, dd (9.7, 1.9)",
2A,"37.8, CH2","2.02, ddd (12.7, 12.1, 8.4, Ha), 2.73, ddd (12.7, 5.1, 1.7, He)","2.00, ddd (12.7, 12.1, 8.4, Ha), 2.80, ddd (12.7, 5.1, 2.0, He)","1.66, ddd (12.0, 11.8, 9.8, Ha), 2.78, ddd (12.7, 5.1, 1.5, He)",
3A,"69.5, CH","3.76. ddd (12.3, 8.4, 5.1)","3.75, ddd (12.0, 8.5, 5.0)","3.61, m",
3A-OH,,"4.70, br s","4.68, br s","4.70, br s",
4A,"88.1, CH","3.12, dd (8.4, 8.4)","3.12, dd (8.4, 8.4)","3.08, dd (8.8, 8.8)",
5A,"71.1, CH","3.46, m","3.39, m","3.35, m",
6A,"18.1, CH3","1.31, d (6.1)","1.28, d (6.2)","1.22, d (6.1)",
"sugar B, β-d-olivose",,,,,
1B,"101.1, CH","4.55, dd (9.9, 1.6)","4.52, dd (9.8, 2.0)","4.64, dd (9.8, 1.7)",
2B,"37.3, CH2","1.66, ddd (12.0, 12.0, 8.0,Ha), 2.24, ddd (12.0, 5.0, 1.5, He)","1.66, ddd (12.0, 12.0, 8.0,Ha), 2.24, ddd (12.0, 5.0, 1.5, He)","1.35, ddd (12.1, 11.9, 8.0, Ha), 2.07, ddd (11.8, 5.0, 1.5, He)",
3B,"80.6, CH","3.52, ddd (12.2, 8.3, 5.2)","3.52, ddd (12.0, 8.5, 4.8)","3.48, ddd (12.2, 8.3, 5.2)",
3B-OH,,,,"4.98, br s",
4B,"75.5, CH","3.12, dd (8.4, 8.4)","3.12, dd (8.4, 8.4)","3.60, ddd (12.1, 9.0, 5.2)",
4B-OH,,"4.33, br s","4.32, br s","4.98, br s",
5B,"72.5, CH","3.40, m","3.39, m","3.31, m",
6B,"18.1, CH3","1.40, d (6.1)","1.39, d (6.2)","1.21, d (6.1)",
"sugar C, α-l-rhodinose",,,,,
1C,"97.8, CH","4.94, br s","4.94, br s",,
2C,"25.7, CH2","1.56, m (complex, Ha), 2.02, m (complex, He)","1.56, m (complex, Ha), 2.00, m (complex, He)",,
3C,"24.3, CH2","1.66, m (complex,Ha), 2.02, m (complex, He)","1.67, m (complex,Ha), 2.00, m (complex, He)",,
4C,"67.3, CH","3.63, br s","3.63, br s",,
4C-OH,,n.o.e,n.o.e,,
5C,"68.0, CH","4.13, q (6.4)","4.13, q (6.7)",,
6C,"17.2, CH3","1.21, d (6.6)","1.21, d, (6.6)",,
,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,
"Table 2. 13C and 1H NMR Assignments of Landomycins S, T, and U in CDCl3 [δ in ppm relative to TMS (multiplicity, J Hz)]",,,,,
"Footnotes: ['aSee also Figures S40−S48.', 'b125 MHz.', 'cNot observed.']",,,,,
,,,,,
,landomycin S (17)a,landomycin T (9)b,landomycin U (10)a,,
position,δCb,δH (500 MHz),δCb,δH (500 MHz),δH (500 MHz)
1,"155.9, C",,"155.1, C",,
1-OH,,"9.59, br s",,"11.11, s","10.63, s"
2,"120.1, CH","6.74, br s","119.9, CH","7.06, d (1.5)","7.16, br s"
3,"143.8, C",,"141.4, C",,
3-CH3,"21.4, CH3","2.28, s","21.4, CH3","2.44, s","2.48, s"
4,"123.7, CH","6.70, br s","121.4, CH","7.20, d (1.5)","7.27, br s"
4a,"137.0, C",,"138.5, C",,
5,"36.5, CH2","2.86, dd (16.0, 4.7, Hα) 3.03, dd (16.0, 4.7, Hβ)","137.8, CH","8.06, d (8.8)","8.13, d (8.7)"
6,"62.0, CH","5.07, t (4.1)","122.9, CH","8.20, d (8.6)","8.24, d (8.6)"
6a,"145.9, C",,"136.7, C",,
7,"183.8, C",,"181.8, C",,
7a,"120.7, C",,"121.5, C",,
8,"156.4, C",,"156.5, C",,
9,"125.1, CH","7.47, dd (8.5, 1.0)","124.8, CH","7.47, dd (8.4, 0.7)","7.53, d (8.7)"
10,"134.8, CH","7.63, t (8.0)","134.9, CH","7.65, t (8.2)","7.26, d (9.6)"
11,"122.8, CH","7.90, dd (7.7, 1.0)","123.4, CH","7.98, dd (7.7, 0.8)",
11-OH,,,,,"12.23, s"
11a,"134.8, C",,"137.1, C",,
12,"189.7, C",,"190.6, C",,
12a,"138.7, C",,"130.8, C",,
12b,"113.4, C",,"119.2, C",,
"sugar A, β-d-olivose",,,,,
1A,"98.6, CH","5.16, dd (9.5, 1.9)","98.8, CH","5.21, dd (9.5, 1.8)","5.07, dd (9.6, 1.5)"
2A,"37.7, CH2","1.95, m (complex, Ha) 2.61, ddd (12.7, 7.0, 5.1, He)","37.8, CH2","2.04, ddd (12.7, 12.0, 5.0, Ha) 2.70, ddd (12.7, 5.1, 1.5, He)","2.06−1.90, m (complex, Ha) 2.79, ddd (12.6, 5.0, 1.2, He)"
3A,"69.5, CH","3.68, m","69.4, CH","3.74, m","3.73, m"
3A-OH,,"4.65, br s",,"4.72, br s","4.69, br s"
4A,"88.0, CH","3.09, dd (8.8, 8.8)","88.0, CH","3.12, dd (8.7, 8.1)","3.10, dd (8.4, 8.4)"
5A,"71.1, CH","3.43, m","71.0, CH","3.45, m","3.49, m"
6A,"18.0, CH3","1.28, d (6.1)","18.0, CH3","1.29, d (6.2)","1.28, d (6.1)"
"sugar B, β-d-olivose",,,,,
1B,"101.1, CH","4.50, dd (9.8, 1.8)","101.1, CH","4.51, dd (9.8, 1.6)","4.51, dd (9.6, 1.2)"
2B,"37.3, CH2","1.64, m (complex, Ha), 2.21, ddd (13.1, 3.8, 1.5, He)","37.3, CH2","1.63, m (complex, Ha) 2.22, ddd (10.5, 5.0, 1.5, He)","1.70−1.48, m (complex, Ha) 2.21, ddd (10.5, 5.0, 1.5, He)"
3B,"80.7, CH","3.48, ddd (12.2, 8.3, 5.2)","80.7, CH","3.47, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)"
4B,"75.4, CH","3.07, dd (8.3, 8.1)","75.3, CH","3.07, dd (8.1, 8.2)","3.08, dd (8.4, 8.4)"
4B-OH,,"4.28, br s",,"4.36, br s","4.32, br s"
5B,"72.5, CH","3.40−3.31, m","72.4, CH","3.40−3.31, m","3.37, m"
6B,"18.0, CH3","1.35, d (6.1)","18.0, CH3","1.35, d (6.1)","1.36, d (6.1)"
"sugar C, α-l-rhodinose",,,,,
1C,"98.0, CH","4.94, br s","98.0, CH","4.94, br s","4.94, br s"
2C,"25.7, CH2","1.73, m (complex, Ha) 2.03, m (complex, He)","25.6, CH2","1.75, m (complex, Ha) 1.96, m (complex, He)","1.75, m (complex, Ha) 1.96, m (complex, He)"
3C,"25.3, CH2","1.52, m (complex, Ha) 2.11, m (complex, He)","25.2, CH2","1.52, m (complex, Ha) 2.11, m (complex, He)","1.70−1.48, m (complex,Ha) 2.12, m (complex, He)"
4C,"75.9, CH","3.51, br s","75.9, CH","3.51, br s","3.52, br s"
4C-OH,,n.o.c,,n.o.c,n.o.c
5C,"67.9, CH","4.06, dq (6.6, 1.1)","67.8, CH","4.06, dq (6.4, 0.8)","4.06, q (6.6)"
6C,"17.2, CH3","1.18, d (6.6)","17.2, CH3","1.18, d (6.4)","1.19, d (6.4)"
"sugar D, β-d-olivose",,,,,
1D,"101.6, CH","4.46, dd (9.8, 1.0)","101.6, CH","4.46, br d (9.7)","4.47, dd (9.4, 1.2)"
2D,"38.5, CH2","1.64, m (complex, Ha)2.28, m (complex, He)","38.4, CH2","1.64, m (complex, Ha)2.28, ddd (11.8, 5.4, 1.5, He)","1.70−1.48, m (complex, Ha)2.29, ddd (11.8, 5.4, 1.5, He)"
3D,"69.7, CH","3.56, m","69.7, CH","3.46, m","3.57, m"
3D-OH,,"4.57, br s",,"4.61, br s","4.59, br s"
4D,"88.7, CH","2.95, dd (8.8, 8.8)","88.6, CH","2.95, dd (8.6, 8.6)","2.96, dd (8.7, 8.7)"
5D,"70.6, CH","3.27, m","70.4, CH","3.26, m","3.27, m"
6D,"18.0, CH3","1.23, d (6.1)","18.0, CH3","1.23, d (6.1)","1.24, d (6.1)"
"sugar E, β-d-olivose",,,,,
1E,"101.1, CH","4.46, dd (9.8, 1.0)","101.1, CH","4.46, brd (9.7)","4.47, dd (9.4, 1.2)"
2E,"37.2, CH2","1.72, m (complex, Ha)2.20, ddd (12.1, 3.8, 1.5, He)","37.2, CH2","1.63, m (complex, Ha) 2.20, ddd (10.7, 5.6, 1.5, He)","1.70−1.48, m (complex, Ha)2.21, ddd (10.7, 5.6, 1.5, He)"
3E,"80.4, CH","3.48, ddd (12.2, 8.3, 5.2)","80.5, CH","3.45, ddd (12.2, 8.3, 5.2)","3.47, ddd (12.2, 8.3, 5.2)"
4E,"75.5, CH","3.07, dd (8.8, 8.8)","75.4, CH","3.09, dd (8.7, 8.7)","3.09, dd (8.7, 8.7)"
4E-OH,,"4. 41, br s",,"4.49, br s","4.48, br s"
5E,"72.6, CH","3.40−3.31, m","72.5, CH","3.40−3.31, m","3.37, m"
6E,"18.1, CH3","1.37, d (6.1)","18.1, CH3","1.38, d (6.1)","1.38, d (6.1)"
"sugar F, α-l-rhodinose",,,,,
1F,"97.6, CH","4.92, br s","97.5, CH","4.92, br s","4.93, br s"
2F,"24.7, CH2","1.52, m (complex, Ha)2.03−1.88, m (complex, He)","24.6, CH2","1.52, m (complex, Ha)1.96−1.88, m (complex, He)","1.70−1.48, m (complex, Ha)2.04−1.88, m (complex, He)"
3F,"24.3, CH2","1.52, m (complex, Ha)2.03−1.88, m (complex, He)","24.2, CH2","1.54, m (complex, Ha)2.06−1.99, m (complex, He)","1.70−1.48, m (complex, Ha)2.04−1.88, m (complex, He)"
4F,"67.3, CH","3.61, br s","67.2, CH","3.61, br s","3.62, br s"
4F-OH,,n.o.c,,n.o.c,n.o.c
5F,"67.9, CH","4.11, dq (6.6, 1.1)","67.9, CH","4.10, dq (6.5, 0.8)","4.12, q (6.6)"
6F,"17.2, CH3","1.19, d (6.6)","17.2, CH3","1.19, d (6.4)","1.20, d (6.4)"
,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,
"Table 3. 13C and 1H NMR Assignments of Landomycins V and W [δ in ppm relative to TMS (multiplicity, J Hz)]",,,,,
"Footnotes: ['aSee also Figures S29−32 and S36−37.', 'bDMSO-d6.', 'c125 MHz.', 'dCDCl3.', 'eNot observed.']",,,,,
,,,,,
,landomycin V (15)a,landomycin V (15)a,landomycin W (7)a,,
position,"δCb,c",δH (500 MHz)b,δH (500 MHz)d,δH (500 MHz)d,
1,"155.4, C",,,,
1-OH,,"9.66, br s","9.56, s","10.63, s",
2,"115.2, CH","6.55, s","6.76, s","7.16, br s",
3,"141.2, C",,,,
3-CH3,"21.2, CH3","2.24, s","2.29, s","2.48, s",
4,"121.0, CH","6.62, s","6.71, s","7.27, br s",
4a,"138.2, C",,,,
5,"36.5, CH2","2.73, d (15.8, Hα)","2.87, dd (16.0, 4.4, Hα)","8.13, d (8.7)",
,,"2.87, d (15.8, Hβ)","3.05, dd (16.0, 4.8, Hβ)",,
6,"57.0, CH","5.04, br s","5.10, t (4.5)","8.24, d (8.6)",
6-OH,,"5.00, br s",,,
6a,"140.2, C",,,,
7,"181.2, C",,,,
7a,"120.0, C",,,,
8,"155.6, C",,,,
9,"121.9, CH","7.53, d (8.5)","7.48, d (7.5)","7.53, d (8.7)",
10,"134.6, CH","7.75, t (7.8)","7.65, t (8.1)","7.26, d (9.6)",
11,"119.6, CH","7.56, d (7.5)","7.93, d (7.6)",,
11-OH,,,,"12.23, s",
11a,"136.0, C",,,,
12,"184.3, C",,,,
12a,"141.4, C",,,,
12b,"113.8, C",,,,
"sugar A, β-d-olivose",,,,,
1A,"96.5, CH","5.42, d (9.6)","5.18, dd (9.6, 1.8)","5.07, dd (9.4, 1.1)",
2A,"38.1, CH2","1.84−1.68, m (complex, Ha)2.36, ddd (12.7, 7.0, 5.1, He)","2.01−1.89, m (complex, Ha)2.64, ddd (12.8, 5.1, 1.6, He)","2.00−1.90, m (complex, Ha)2.79, ddd (12.8, 5.1, 1.6, He)",
3A,"68.3, CH","3.64, m","3.71, m","3.73, m",
3A-OH,,"4.73, br s","4.71, br s","4.70, br s",
4A,"86.5, CH","3.11, dd (8.6, 8.6)","3.11, dd (8.8, 8.8)","3.11, dd (8.8, 8.8)",
5A,"70.1, CH","3.35, m","3.45, m","3.46, m",
6A,"17.7, CH3","1.16, d (6.1)","1.29, d (6.2)","1.27, d (6.2)",
"sugar B, β-d-olivose",,,,,
1B,"100.0, CH","4.69, d (9.4)","4.51, dd (7.8, 1.8)","4.51, dd (9.2, 1.3)",
2B,"35.8, CH2","1.39−1.26, m, (complex, Ha)2.36, ddd (10.5, 5.0, 1.5, He)","1.70−1.56, m (complex, Ha)2.23, m (complex, He)","1.70−1.50, m (complex, Ha)2.23, m (complex, He),",
3B,"73.1, CH","3.55, ddd (12.2, 8.3, 5.2)","3.48, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)",
4B,"73.9, CH","2.94, dd (9.0, 8.8)","3.09, dd (8.3, 8.1)","3.10, dd (8.3, 8.1)",
4B-OH,,"5.11, br d (5.5)","4.32, br s","4.47, br s",
5B,"71.9, CH","3.37, m","3.37, m","3.37, m",
6B,"17.8, CH3","1.23, d (6.1)","1.34, d (6.1)","1.34, d (6.1)",
"sugar C, α-l-rhodinose",,,,,
1C,"92.1, CH","4.88, br s","4.95, br s","4.94, br s",
2C,"24.0, CH2","1.82, m (complex, Ha)1.96, m (complex, He)","1.74, m, (complex, Ha)2.01−1.89, m (complex, He)","1.70−1.50, m (complex, Ha)2.00−1. 90, m (complex, He)",
3C,"24.0, CH2","1.32, m (complex, Ha)1.94, m (complex, He)","1.52, m (complex, Ha)2.12, m (complex, He)","1.70−1.50, m (complex, Ha)2.12, m (complex, He)",
4C,"75.7, CH","3.43, br s","3.52, br s","3.51, br s",
4C-OH,,n.o.e,n.o.e,n.o.e,
5C,"65.2, CH","4.11, q (6.2)","4.08, q (6.1)","4.06, q (6.4)",
6C,"17.0, CH3","1.00, d (6.2)","1.19, d (6.6)","1.18, d (6.4)",
"sugar D, β-d-olivose",,,,,
1D,"101.8, CH","4.52, d (9.5)","4.49, dd (7.6, 1.9)","4.49, dd (9.3, 1.4)",
2D,"38.8, CH2","1.40, m, (complex, Ha)2.07, ddd (11.8, 5.4, 1.5, He)","1.70−1.56, m (complex, Ha)2.29, m (complex, He)","1.70−1.50, m (complex, Ha)2.29, m (complex, He)",
3D,"68.7, CH","3.43, m","3.58, m","3.58, m",
3D-OH,,"4.60, br s","4.56, br s","4.56, br s",
4D,"87.2, CH","2.94, dd (8.6, 9.0)","2.95, dd (8.8, 8.8)","2.95, dd (8.8, 8.8)",
5D,"69.7, CH","3.26, m","3.28, m","3.27, m",
6D,"17.9, CH3","1.23, d (6.1)","1.24, d (6.2)","1.24, d (6.1)",
"sugar E, β-d-olivose",,,,,
1E,"100.2, CH","4.59, br d (9.8)","4.47, dd (9.8, 1.4)","4.47, dd (9.2, 1.7)",
2E,"39.4, CH2","2.07, m (complex, Ha)2.44, m (complex, He)","2.01−1.89, m (complex, Ha)2. 21, ddd (12.1, 3.8, 1.5, He)","2.00−1.90, m (complex, Ha)2. 22, ddd (12.1, 3.8, 1.5, He)",
3E,"70.2, CH","3.55, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)",
3E-OH,,"4.96, d (4.4 Hz)","3.62, br s","3.61, br s",
4E,"76.4, CH","2.77, dd (8.6, 8.6)","3.07, dd (8.8, 8.8)","3.08, dd (8.8, 8.8)",
4E-OH,,"5.04, br s","4. 48, br s","4. 47, br s",
5E,"71.9, CH","3.26, m","3.37, m","3.37, m",
6E,"17.8, CH3","1.17, d (6.1)","1.38, d (6.1)","1.38, d (6.1)",
,,,,,
none,1,2,,11,
NAa/1.5 ± 0.2b,1.8 ± 0.1a/2 ± 0.2b,,2.1 ± 0.3a/1.4 ± 0.2b,,
I,O (4),R (3),F (13),D (12),
NAa/3.55 ± 1.1b,NAa/1.7 ± 0.3b,NAa/1.8 ± 0.4b,7.6 ± 1.5a/1.75 ± 0.3b,,
II,P (5),Q (6),,E (18),
NAa/3.55 ± 0.5b,NAa/3.85 ± 0.4b,,"13.0 ± 2.2a,c/NTb",,
III,M (8),W (7),V (15),B (14),
7.1 ± 4.6a/1.9 ± 0.5b,6.9 ± 3.2a/2.65 ± 0.3b,6.1 ± 1.3a/1.5 ± 0.5b,4.25 ± 0.8a/1.8 ± 0.2b,,
IV,T (9),U (10),S (17),A (16),
NAa/1.85 ± 0.4b,2.1 ± 0.1a/7.3 ± 2.5b,6.7 ± 1.0a/1.5 ± 0.3b,2.2 ± 0.1a/2.0 ± 0.1b,,
